phrase,ref
"Alright, I'm alright, I'm alright.",mixed
What's up?,mixed
So I am a creative lead when it comes to content strategy and content generation and content marketing.,mixed
"I also do a lot of marketing services, digital marketing.",mixed
"I also do events, both BTL and ATL.",mixed
"When I say ATLI I mean campaigns, I run campaigns on digital mediums and in a BTLI do underground events, marketing campaigns, events and all of that.",mixed
"Also I mean sports management agency work, specifically football.",mixed
"These things, yes.",mixed
So basically my business is pursue my passion.,internal
So I'm passionate about them.,internal
I give it my 100%.,internal
I enjoy doing them.,internal
Wow.,mixed
"So yes, for marketing campaigns, for instance, I'll just limit it to marketing campaigns.",mixed
"So marketing campaigns, we have metrics, we have KPI, for instance, we measure the reach, we measure the experiential.",external
"So for instance, if you are talking digital marketing campaigns, you are talking about your reach, you are talking about the engagement you are able to generate online	and then you are also talking about the participation.",external
You know how many people participated the effectiveness of the campaign.,external
"So your KPI is basically would be centered around the participation, would be centered around the reach and then would also be centered around how much of the experience the people who who participated enjoyed.",external
"I mean, if you can have some sort of talkability around the campaign, you can't really gauge talkability.",mixed
But if you have 6 out of 10 people online talking about your campaign means you know you've achieved a particular goal.,external
"Well, yes, so my probationary Pro is basically was premised on my ability to deliver.",external
"And then also, you know, consistency in, in my excellence.",internal
"When I say excellence, I mean the, the, the kind of the quality of the, of the output you are given.",mixed
So I would also give you an example.,mixed
"For instance, during your probationary prod, you are asked to come up with a campaign for a particular product.",mixed
"OK, now you are supposed to get X amount of reactions or you're supposed to get X amount of sampling.",mixed
"If it's a BTO, you go on the ground, you sample the product, it's a new product you are bringing up, you are coming up to.",mixed
"So you are given X amount of sampling, you are given X amount of feedback you are supposed to generate and all of that.",mixed
"So during my probationary report, I was given targets to meet and then I was able to achieve them.",internal
"Without meeting these targets, I'm sure I wouldn't have been able to be retained as an employer.",mixed
So basically that's how my provisional product went.,mixed
"And then also my in office activities, how I was relating with my fellow workers.",mixed
"I mean, you could you could have the best output, you could have the best attitude towards your work, you could deliver the best result.",external
"But if you are not impacting or you are not generally given a good feeling in the office, you wouldn't really be retained.",external
"So yes, in as much as you are performing on the job, you also have to try as much as possible to make sure you are at peace with those you are working with, you are playing well in in the team and all of that.",external
"So yes, those are the some of the factors that.",mixed
"Well, I didn't mix.",mixed
"OK, so first of all, I understood that I was in the office for work and anybody I see around is a coworker or is there basically for work.",mixed
"OK, but I'm human and there are some traits, some good traits you'd like to learn from your supervisors.",external
So I kept it formal when I had to keep it formal.,mixed
And then I went in formal when you know the mood or the situation called for it.,internal
"For instance, I couldn't be formal when that the person was in a bad mood or the person had suffered a terrible loss.",external
I couldn't go formal.,mixed
OK.,mixed
"I had to be a bit sympathetic towards the situation and be a bit informal, go out of my way to offer some sort of sympathy to the person.",external
And then also there were happy times in their life that they would have loved to celebrate it.,mixed
I couldn't go formal.,mixed
"I couldn't say, Oh no, we are just coworkers.",mixed
I can't just see you in the office and let it go.,mixed
You had to reach out.,external
You had to try and be human.,external
"So yes, I did a mix of both the formal and the informal approaches to towards my supervisors, yeah.",internal
"Can't say you dislike, but I think sometimes it gets difficult.",internal
"Sometimes you get a brain drain, you get a creative block.",mixed
"You know, you need to come up with a new thing, you need to come up with a new strategy, you need to come up with a new concept.",internal
"And it seems you have exhausted all the creativity in your head, OK, And your clients are waiting, your bosses are waiting for the next wow factor.",external
"So sometimes you get very difficult trying to get inspiration, especially when you are locked up in an office and being a creative.",mixed
You need the environment to sort of give you some sort of inspiration.,external
"When you are locked up in an office, it becomes very difficult for you to get the inspiration.",external
"So I think that's, that's the only problem I have with my job.",internal
"Brain, brain, a brain block, a creative stall and all of that.",mixed
"That is the only problem aside that I enjoy everything that comes with the stress, the trail, the uncertainty is about campaign, how well would go and all of that.",internal
"It's, it's beautiful.",internal
"Well, like I mentioned it later on, it's basically my passion.",internal
So I'm just chasing a passion and then I'm just trying to make money out of it.,internal
"So I wasn't influenced by a person, Percy.",internal
"I was just influenced by my intrinsic motivation, what I wanted to do.",internal
"I sat down, did some sort some self introspection, and then I just decided to follow my passion and then try as much as possible to monetize it.",internal
"So yeah, I'm just inspired by myself and what I believe I can achieve in the creative space.",internal
"Man, of course.",mixed
"So I, I would always, you know, take you back to me being creative, being creative, you need to be as balanced as possible because you get inspired by the environment.",external
You get inspiration from the environment.,external
"So you never know where you could find the next inspiration, right?",external
So you try as much as possible to keep it balanced.,mixed
"You don't, you don't, you're not so much into the job, yes, as your passion.",mixed
"You're supposed to be serious about it, but you need to know when to take a break.",internal
"So I enjoy life with my family, my niece especially and my mum.",internal
I take breaks sometimes.,mixed
I sleep a lot as well.,mixed
"I spend time, I try to spend quality time with my family.",mixed
"I don't, I don't make my life all about work, work, work, work.",internal
"No, I balance it properly.",internal
I spend time with my family.,mixed
"I take them out sometimes, we have dinners sometimes, we take a walk sometimes, and we have sleep insurance.",mixed
Sometimes we all gather and then have fun and sleep.,mixed
Yeah.,mixed
So that's our balance.,mixed
My.,internal
"OK, so I believe as a team player that to each has to it his or her strength or her area of expertise, right?",internal
So I believe in team playing a lot.,internal
"And I believe that each person is blessed with, let me say superior knowledge or superior know how in particular areas of this space we found our ourselves in.",internal
So our decision making basically is generic - we make decisions as a team.,external
"OK, So I don't, I don't impose decisions on people.",mixed
I don't impose things on my fellow workers.,mixed
"We sit down, we have a conversation as a team.",mixed
We try to judge on so the judge on them.,mixed
"We try to figure out how best we can, you know, solve things or we can go about things.",mixed
And then we try as much as possible to also adopt best practices elsewhere.,mixed
"So like I said, people have superior knowledge or, or technical know how when it comes to some things.",external
I am not all knowing like I'm not all doing as well.,internal
I believe in delegating and delegating efficiently.,internal
So within the team there are people who are very competent with some things.,mixed
"We sit down, we pick their minds on particular areas of expertise and then we make a decision as a team.",external
"OK, so the idle work environment for us as creatives is not making people feel small in their box, making every person responsible for whichever activity he or she has been assigned to.",internal
"So for me as as a superior or as a boss, I try to make people boost their morale up every time have them, you know, conceive positive mindset towards each and every assignment	they are given.",mixed
"We also motivate staff who, you know, I found one thing in some areas, we also try to educate them.",mixed
We also try to empower them in a way.,mixed
So the atmosphere in this office or in this company is more of a +1 is you can do it kind of thing.,mixed
You can do it spirit and then teamwork.,mixed
So we do we solve problems as a team.,external
We have fun as a team.,mixed
We suffer as a team.,mixed
"We take hits and losses, though.",mixed
I'm the boss.,internal
"I take, you know, the major part of it, but that kind of what's it called the familial kind of thing, that kind of feeling that we have here.",mixed
"We, we approach everything as a team and as a family.",mixed
"So that is the kind of spirit we have here, the team spirit, team morale and then inspiring each other, challenging each other, positive, you know, healthy competition in here.",mixed
That's the kind of attitude.,mixed
We accept here or we have conceived in this company.,mixed
Wow.,mixed
"For me personally, are you asking for me personally?",internal
"Oh well, my again as a critic, my day starts when I feel there's for for instance, so when I feel there is a lot of things to do, I come into the office very early, sometimes at six AMI try to sign off what I need to sign off.",internal
I try to take meetings that I'm supposed to take and then I try to delegate each assignment to whoever I believe is the most competent.,internal
"OK, so that is normally how my day goes.",mixed
"If I do not have a lot of paperwork to do, I step out and then I try to supervise projects that have been done.",mixed
"I try to keep an eye on every project that has been done, for instance, like shoes, like campaigns, like events.",internal
I go around supervising and then making sure everything is in place.,mixed
"If there is no such thing, I just hit the playground with my children and then my nieces and then we have a good time and I also and treat my staff to take time off and then spend some time with family or spend some time doing what they enjoy doing.",mixed
"Well, my role for now, we won the best African film from the Cannes Digital awards.",mixed
"Cannes, I'm not sure.",mixed
I'm sure you know what Cannes says.,internal
Cannes is a film awarding scheme or whatever.,mixed
He based in France.,mixed
"So that's our latest award for a movie, a short film that we did based around tourism and then patriotism.",mixed
So that is our most recent award.,mixed
"But then we have, you know, gotten a couple of awards.",mixed
"I wouldn't say that to Brad, but we have got him quite a number of awards, which we are proud of as a team.",external
"We also look forward to, you know, raking in a few more awards just to feel good about ourselves.",external
What do you do?,mixed
We are creative agencies.,mixed
"So anything creative, I would say we are creative alchemist.",internal
OK.,mixed
"So anything when it comes to content generation like movies, like short films, like commercial TV commercials, like digital contents, when it comes to static graphics and then you know, moving graphics and all of that.",mixed
We also do a bit of advertising.,mixed
"We also do a bit of media buying, so radio media buying, TV media buying.",mixed
We do marketing as well.,mixed
We devise marketing strategy.,mixed
"We do marketing campaigns, we do marketing events as well.",mixed
"And then we also do sports management, so specifically in football agencies.",mixed
So we are licensed FIFA agents.,mixed
"If we sport the talent, we try to connect this talent with the best bid bidder just to you know, push the talent as far as this talent can go.",mixed
So this footballing talent can go.,mixed
So that is that is the scope of our business.,mixed
That is what we do here.,mixed
Right.,mixed
"So apprenticeship, I took time to be an apprentice.",mixed
I learned under the best that I know.,internal
I also understood time.,internal
I told myself that time edifies.,internal
"So if you put in the time diligently, you will reap some good success at the end of it.",internal
But I believe in apprenticeship and being mentored by people in whom you can find very positive traits.,internal
"So mentorship, apprenticeship and taking responsibility sometimes most of us really do not like to be held responsible, especially when things go South.",mixed
"But being responsible and learning how to take the hits, sometimes learning how to be points to what you are now kind of strengthens your character.",internal
So those are the three.,mixed
"I mean, those are the ones that stand out, you know, practices that I have employed my whole life and it has brought me where I am. Subjecting yourself to apprenticeship, understanding how time works, taking responsibility for everything.",internal
"And then, you know, cultivating a very positive attitude everywhere, every time, being optimistic in every situation.",internal
Yeah.,mixed
"OK, so I obviously have 24 hours like everyone else, but I have a way of going about my things.",internal
There's this theory that I used.,internal
Just hold on a SEC.,mixed
I want to show you that.,internal
Yeah.,mixed
"So basically what I do is I break my task into simpler ones, and then I try to take them off my schedule one at a time.",internal
"So for instance, if I know that I have so many meetings to take or I have so many things to accomplish, I take the easy ones.",mixed
I start with the easy ones.,mixed
Bit by bit I take them off my list.,mixed
"And then when I am quite ready, when I've had lunch and I feel strong, I tackle the most difficult one.",internal
So it's just breaking down your tasks into simple ones and then achieving them bit by bit?,mixed
"Bit by bit, yeah.",mixed
So that's how I manage my time.,internal
"Of course, of course, of course.",mixed
"OK, so first of all, in the creative space, the star is the sky is big enough for every star to shine.",mixed
"OK, you don't have to do what everybody's doing.",internal
You can be your own unique self and you can just find the unique selling proposition for yourself and then you do it.,internal
"Second of all, passion without work is bullshit.",internal
I'm sorry.,internal
"It's, it's nothing.",mixed
"So in as much as you're passionate about something, you need to understand that you need to work hard towards it, cultivate healthy working attitude towards it, cultivate a positive working attitude towards it.",internal
"And then thirdly, it's teamwork and networking.",mixed
So you need to be a very good team player.,internal
You need to respect and understand that people are well talented in things that you are not.,external
People can be better than you are at things and that's OK.,external
"You need to understand that people actually have an upper hand in some things that you do not have, and you have to try as much as possible to make them responsible for those things in order to push you.",internal
"OK, so you can, you know, go alone when you're alone.",internal
"But if you are in the team, you can go far and you can sustain properly.",mixed
"So yes, those are the things that I believe can be some sort of guiding principles for whoever wants to venture into this world.",internal
"Well, I think working smart the hard way is what works for you.",internal
"I mean, you can't outsmart everything in your life.",mixed
"Sometimes you need to put in the work, sometimes you need to be a fool and raise true challenges to hard work.",mixed
"But working smart also saves you a lot of time, which you can use to, you know, concentrate on other things.",mixed
"So I think a healthy blend of both, you know, you went to work hard on something and then you know, you went to work smart on something.",internal
"When you are able to blend both properly, I think you you'd achieve some, some sort of success.",internal
You do?,mixed
Yeah.,mixed
"Course, one thing I've learnt throughout my career is that communication ions out a lot of things and people who do not know how to communicate what they are thinking or how they feel often have issues in life.",internal
"So in my professional experience I have had, you know, sometimes where clients might have said they want this way, but it was communicated differently from their outfit.",mixed
"And we decided to go with their official communication and came out whoever is responsible, whoever is calling the shots didn't want it that way.",external
"So I have tried as much as possible to always ensure we all align on one particular direct in one particular direction, that communication is clear, we know what exactly we are doing.",mixed
"Secondly, like you mentioned, people management.",mixed
People management also makes you learn that everybody's coming from a different background.,external
People are coming from different people have different view viewpoints about life.,mixed
People have different views about work.,mixed
"People are coming from, you know, diverse places.",mixed
So you try as much as possible to accommodate them.,external
"And then I don't know if there's a right word, whip them in line towards the company vision and all of that.",external
"Because without the company, without the umbrella called company, you would never ever, I'm sure in your lifetime never meet those people.",mixed
So you try as much as possible to elevate the company's mission and vision above all personal experiences.,external
And then you chase the company's mission and vision.,external
There will be problems.,mixed
Obviously there'll be conflict.,mixed
We are human.,mixed
There'll be conflicts on one or two times.,mixed
"As a manager, I try as much as possible to be fair and to be just.",internal
"If you are wrong, I am going to tell you are wrong and you are going to suffer the consequences for being wrong.",internal
"If you are right, I'm going to tell you are right.",internal
"But all in all, I try as much as possible to make everybody understand that we are all going in one direction.",mixed
"We are all going in one direction and we have to relegate our personal feelings, our personal experiences, everything to the background and to that particular life.",external
"Books, I have quite a number.",mixed
I've read a lot of books.,mixed
"I don't really remember the titles, but I pick and, you know, I filter through some of the things that I can learn.",internal
But one outstanding one for me is it made it made a profound impact.,mixed
"It left a profound impression on me since the time I've read it, and I still read it today.",mixed
Even this morning I read it that for that.,mixed
Yeah.,mixed
I think it shapes your perspective of our life.,external
It helps you understand that people might come from the same background but might have different opinions about things.,external
People might be enjoying the same privileges but might have different opinions about life and different opinions about dreams and what is possible and what is not possible.,mixed
So which that product?,mixed
"Thank you, Sir.",mixed
Thank you so much.,mixed
Thanks for having me.,mixed
Enjoy your day.,mixed
"Hello, Ruizhou.",mixed
I'm Victoria.,mixed
I'm Korea citizen.,mixed
"I came to Russia to study and after that I just find work in some company, Aurora Technology.",mixed
Now I study and work at the same time.,mixed
"Well, I understand that it's being well done when all projects are submitted exactly on time and when clients are really satisfied.",external
"For example, our last project creating a website for a client was completed two weeks ahead of the schedule and the client even left us a great review.",external
"Once again, please.",mixed
How to make decisions?,external
Mostly through analysing all sort of data and of course taking feedback from our team into account.,external
"The last time we decided to which is purchasing campaign to launch, we really analysed all the previous campaigns and the team's opinions and choose the most promising option.",external
"You know this place where you can personally, you can be creative and work independently, just these.",internal
Ideal partner.,mixed
"They need to be reliable, you know, and have a good reputation on the market, of course, like our recent supplier of companies for production who always meets deadlines exactly and offers us furball terms.",external
Really comfortable guy to work with.,mixed
"About vacation, yeah, we mostly works five to two, you know, five day works to the day offs.",mixed
"Ideal, I just prefer not to work.",internal
It's ideal.,internal
Ideal one or what?.,mixed
"Well, my day starts with checking my plan for the day and they're having meetings with the team.",mixed
"When then I mostly work on the current task, like developing a new market strategy.",mixed
"For example, recently I'm doing this after lunch.",mixed
I usually meet with clients or partners and in the end I just prepared reports of the day's results.,mixed
"It was really interesting situation, really let me feel comfortable.",internal
"Recently, I successfully completed initiations with a new supplier and we were able to reduce production cost by 10%.",mixed
That's you know important for our profitability in this quarter.,mixed
So if you're so good.,mixed
"For now, I am working in a modern office right in the city center, which is comfortable to go there and there's a lot of lights, some modern stuff, enough space, that's all just comfortable situation.",mixed
"We have some special workspace and some special have rest space, so it's very comfortable.",mixed
"If you have some tough time, you need to have some mental rest.",internal
You just go to have rest.,mixed
Company develops software for financial institutions.,mixed
We create applications which that help banks and insurance companies to make the year operations and improve customer service.,mixed
"You know, for example, we recently launched a new app for mobile banking analysis analytics, and it's already being used by several major banks.",mixed
"Right now, I'm working in the department of the supplies of the gas project.",mixed
Yes.,mixed
Not really.,mixed
"My department is international, so my colleagues are pretty friendly.",mixed
I see key indicators.,external
"First, I meet targets set by my supervisors, such as ensuring timely delivery of supplies and maintaining inventory levels.",external
"Also, receiving positive feedback from colleagues and stakeholders shows the accuracy of my work.",external
"When I complete my job, if I get positive feedback, I feel I have performed well.",external
"First, I look at different scenarios and their potential impacts on the supply chain.",mixed
I use data and past performances to inform decisions.,external
I also discuss with team members and supervisors to align decisions with company goals.,external
"The ideal work environment would have clear and open communication, teamwork, opportunities for continuous learning, and access to the latest technology to streamline the supply chain.",mixed
"Everyone has good and bad days, but we try our best.",mixed
"To tell the truth, I haven’t thought much about it.",mixed
"Usually, my day off involves going to the gym or seeing my girlfriend.",mixed
My day starts by checking emails and updates from suppliers.,mixed
"I ensure there are no immediate issues requiring attention, coordinate with my team to plan tasks, confirm delivery schedules, resolve logistical issues, and participate in meetings with other departments.",mixed
Two years.,mixed
"Recently, I streamlined the supply chain process, reducing delivery times by 5% by implementing a new tracking system and improving communication with suppliers.",mixed
I try to do my best every day.,internal
"Every task, big or small, is an opportunity for growth.",mixed
"Previously, decisions were based on feelings without clear leadership.",internal
"Now, our system is more hierarchical, with a directive style.",mixed
Feedback is encouraged to improve workflows.,mixed
"Yes, I find this system effective.",internal
I’m comfortable as long as the company achieves its goals.,external
"My company operates globally, specializing in oil and natural gas extraction and refinement.",mixed
"We manage complex supply chains to ensure smooth operations, from sourcing raw materials to delivering products worldwide.",mixed
"Our focus is on logistics, innovation, and sustainability.",mixed
"Yes, we work closely with these countries and aim to strengthen future collaborations.",mixed
Okay.,mixed
It is my greatest pleasure to participate in the HSE university project.,mixed
"So, let me do a brief introduction about myself.",mixed
My name is Anon.,mixed
I came from China.,mixed
My Chinese name is Anon.,mixed
"Nowadays, I'm studying my Master's Degree in High School of Economics in Russia, St. Petersburg campus.",mixed
"It is my greatest pleasure to illustrate anything related to the cultural code of China, because China is the country that I had been living for my entire life.",mixed
Around 20 years.,mixed
So I have my own perspectives around anything related to culture in China.,internal
"So maybe it will be somehow very different with most of the people's views, but I hope you can understand me very well, okay.",internal
"Yeah, currently.",mixed
Right now I am working full-time in a restaurant.,mixed
"That restaurant was opened by Russian people, but it is a Chinese restaurant.",mixed
"The name of the restaurant is the Pisha Dynasty Ming, and that place previously was the museum of Joseph Brodsky and Alexander Brodsky, because Joseph Brodsky's favorite dish was the Chinese food.",mixed
"You know, he was the greatest writer in the former Soviet Union.",mixed
"When he received the Nobel Prize of Literature, he was having Chinese food in a Chinese restaurant in the town street of London, something like this.",mixed
"Yes, because in HSE we have very demanding standards, you know, our professor asked all the foreign students to find interviews or a full-time job by themselves.",mixed
"For me, I was working as a Chinese social media marketing manager and doing all shifts in that restaurant.",mixed
Previously I never found a job by myself so this time I do realize that it is very difficult to make money on your own.,external
"So, I get to know that it is very important for me to save the money, because earn money isn't that easy.",external
"You know, money isn't a blood, but a vein or something like this.",mixed
"Yes, yes, yes, yes.",mixed
I do like the company's atmosphere.,internal
"You know, there's quite a different the culture code between the companies in Russia and that in China.",mixed
Russian companies are very tolerant to the newcomers.,mixed
Sometimes I make some very big mistakes.,mixed
I was scolded by my boss a lot and my employees a lot.,mixed
"Sometimes, you know, I don't know the culture's code in the Russian company.",mixed
"But it is worth to try to make mistakes because after you make mistakes, you start to realize that you shouldn't do such things.",mixed
"For example, you shouldn't eat in an open space because it was quite impolite.",mixed
"And also, when the customers go inside of the restaurant, it is necessary for them to take off their coats.",mixed
"But in China, the Chinese restaurants won't work in this way.",mixed
"Because in China, you know, we even don't have the wardrobe to put the clothes to.",mixed
"Because in China, we don't have these customs.",mixed
"And we don't have some occupations to hire someone to put the customers closest to the rightest place, we don't have these occupations.",mixed
That's the main difference between the Russian restaurant and the Chinese restaurant.,mixed
"And also, in the Russian restaurant, it is okay that if sometimes the customers give you some tips but in China no one is allowed to give tips to the workers.",mixed
"Because you know the Chinese people, in their opinion you work for this job, so you do the job that you were required to.",mixed
"And also, the boss sometimes forbids their employees to get some extra money from the customers because they think the customers should give all the money to the boss rather than to the employees.",mixed
"The only way for the employees to receive money is from their boss, not from the customers.",mixed
"But in China, you know, the Chinese people they are actually kind of working overtime for free and all the Chinese people they get used to it.",mixed
So that's the main difference between the working environment from the western culture and the oriental culture.,mixed
"It was quite stressful and quite overloaded in the oriental countries, you know, it is very hard to get money.",mixed
"But in the Western countries, you know, working as a waiter in restaurants was pretty fun.",internal
You can get appreciation from your customers.,external
"And also, the tips, something like this.",mixed
"Yes, I think the biggest motivation is that my boss, Anna, she provided me all the documents that was necessary to let me pass from the internships.",mixed
She provided all the documents of the company and also she let the general manager sign the contracts to me.,mixed
"She was pretty; she treated me pretty nice and also you know in my working place everyone is hard-working, but they are not, they are not competitive viciously.",mixed
You know in Chinese cultures in Chinese companies everyone kind of treats everyone around them as competitors.,mixed
"But now in my working place everyone treats each other as a friend, as their important person.",mixed
"They are kind, they help each other, even if sometimes someone gets higher salaries than them, they won't be journeyers.",mixed
"But in China, no.",mixed
"If one of the employees has higher salaries than them, oh, they start to say some bad words to them, they kind of stab them in the back.",mixed
"That is very bad, you know, atmosphere in the Chinese company.",internal
"So, you know, a lot of people, they kind of don't want to work because they receive a lot of pressure for the relationships because some of the employees, they are jealous of them, they don't want them to have a good life, they don't want them to have good salaries, they kind of complain about them secretly and also say some bad words to them.",mixed
Let's note the colleagues.,mixed
I really want to work in some place with really good colleagues rather than the competitors.,internal
I don't want to get a high salary; I just want to do my job and give the best services to the customer.,internal
I don't want to spend any time doing something that I think is useless for managing the relationship.,internal
"If this person really doesn’t like me, just doesn't talk with me.",mixed
Sometimes you know in China you have had to manage it.,mixed
You have had to spend more time on to managing the relationship.,mixed
"You know, if the relationship went bad in your working place, it would bring a lot of pressure and unhappiness to you, something like this.",mixed
"Yes, because while I was a waiter in my working place, I really do like to have some small talk with the customers.",internal
"Even though I speak Russian so-so, they still don't think that I'm a very low employee.",mixed
They give me a lot of encouragement.,mixed
"Actually, I was very surprised that all the Russian people are kind of speaking English very well.",internal
"So, it is true that the education level of Russian people is very high, it's higher than that in China.",mixed
"You know while the customers were finishing their meal and they came to my place to pick up their clothes, I would like to say: hello, sir, «Было вкусно» , they would say: «Спасибо», and then I will say: «You are welcome to come here again».",mixed
"Some of my Russian customers really want to talk more with me about my experience, about their experience.",mixed
"I would really like to, you know, talk with them.",internal
